frame,time,blurriness,lighting_change,block,movement,normal,has_blur,has_move,has_overexposure,has_block
1,0.04,447.1178928802528,5,0.9743995949074076,0.0025244814360929,1,0,0,0,0
2,0.08,448.3181438280981,2,0.9743754822530863,0.005282524661099,1,0,0,0,0
3,0.12,449.62203281506646,1,0.9743007330246912,0.0055574183763011,1,0,0,0,0
4,0.16,450.5987786043804,0,0.9743441358024691,0.005745998244977,1,0,0,0,0
5,0.2,450.4520457626584,0,0.974315200617284,0.0056873903110626,1,0,0,0,0
6,0.24,451.2776724291946,2,0.9742983217592592,0.0058632519365771,1,0,0,0,0
7,0.28,451.2727730343608,0,0.9743055555555556,0.0058101662732994,1,0,0,0,0
8,0.32,451.40487170806784,0,0.974339313271605,0.0056039888949406,1,0,0,0,0
9,0.36,452.1288084033931,0,0.9743248456790125,0.0058604056977729,1,0,0,0,0
10,0.4,452.7838958361381,1,0.9743079668209876,0.0059367435245703,1,0,0,0,0
11,0.44,451.6619758665203,4,0.974266975308642,0.0052206544268942,1,0,0,0,0
12,0.48,453.17360772724027,4,0.9742549189814816,0.0056659915123456,1,0,0,0,0
13,0.52,453.1421503199931,0,0.9742115162037036,0.0059697731330186,1,0,0,0,0
14,0.56,453.1714905977709,0,0.974242862654321,0.0057507451282982,1,0,0,0,0
15,0.6,453.479095965372,0,0.9742308063271604,0.0055992609235052,1,0,0,0,0
16,0.64,453.1256762204072,1,0.9742139274691358,0.0059007447500605,1,0,0,0,0
17,0.68,452.3657802494867,0,0.9742091049382716,0.0055466007776567,1,0,0,0,0
18,0.72,452.21690581024166,0,0.9742139274691358,0.0056689890462357,1,0,0,0,0
19,0.76,451.9352364742288,1,0.9742283950617284,0.0060478886770757,1,0,0,0,0
20,0.8,451.9554089371982,0,0.9741801697530864,0.0057599079369402,1,0,0,0,0
21,0.84,452.7811706332728,0,0.9741608796296296,0.0052496936274509,1,0,0,0,0
22,0.88,453.4049246249252,0,0.9741753472222222,0.0059098981027596,1,0,0,0,0
23,0.92,452.873513051844,0,0.9741874035493828,0.0054562303316388,1,0,0,0,0
24,0.96,452.88870136541254,2,0.9742404513888888,0.0055797249455337,1,0,0,0,0
