time_pos,byte_pos,size,type,is_normal,has_blur,has_move,has_overexposure,has_block
0.0,0.0,0.8050645994832041,I,1,0,0,0,0
0.04,62312.0,0.0378682170542635,P,1,0,0,0,0
0.08,65243.0,0.035891472868217,P,1,0,0,0,0
0.12,68021.0,0.0336304909560723,P,1,0,0,0,0
0.16,70624.0,0.032829457364341,P,1,0,0,0,0
0.2,73165.0,0.029328165374677,P,1,0,0,0,0
0.24,75435.0,0.0270284237726098,P,1,0,0,0,0
0.28,77527.0,0.027157622739018,P,1,0,0,0,0
0.32,82697.0,0.0057881136950904,B,1,0,0,0,0
0.36,83145.0,0.003578811369509,B,1,0,0,0,0
0.4,79629.0,0.0396382428940568,P,1,0,0,0,0
0.44,86709.0,0.0043410852713178,B,1,0,0,0,0
0.48,86118.0,0.0076356589147286,B,1,0,0,0,0
0.52,87045.0,0.0037596899224806,B,1,0,0,0,0
0.56,83422.0,0.0348320413436692,P,1,0,0,0,0
0.6,101161.0,0.0054909560723514,B,1,0,0,0,0
0.64,100454.0,0.0091343669250646,B,1,0,0,0,0
0.68,101586.0,0.0031653746770025,B,1,0,0,0,0
0.72,87336.0,0.1694832041343669,P,1,0,0,0,0
0.76,101831.0,0.0425581395348837,P,1,0,0,0,0
0.8,105125.0,0.0298578811369509,P,1,0,0,0,0
0.84,107436.0,0.0281007751937984,P,1,0,0,0,0
0.88,109611.0,0.0268346253229974,P,1,0,0,0,0
0.92,111688.0,0.0248966408268733,P,1,0,0,0,0
0.96,113615.0,0.0232945736434108,P,1,0,0,0,0
1.0,118338.0,0.0040180878552971,B,1,0,0,0,0
1.04,117857.0,0.0062144702842377,B,1,0,0,0,0
1.08,118649.0,0.0038501291989664,B,1,0,0,0,0
1.12,115418.0,0.0315116279069767,P,1,0,0,0,0
1.16,131227.0,0.0060981912144702,B,1,0,0,0,0
1.2,130577.0,0.0083979328165374,B,1,0,0,0,0
1.24,131699.0,0.00328165374677,B,1,0,0,0,0
1.28,118947.0,0.1502583979328165,P,1,0,0,0,0
1.32,131953.0,0.043875968992248,P,1,0,0,0,0
1.36,135349.0,0.0323772609819121,P,1,0,0,0,0
1.4,137855.0,0.0279328165374677,P,1,0,0,0,0
1.44,140017.0,0.0253359173126615,P,1,0,0,0,0
1.48,141978.0,0.0250258397932816,P,1,0,0,0,0
1.52,143915.0,0.0227131782945736,P,1,0,0,0,0
1.56,145673.0,0.0211757105943152,P,1,0,0,0,0
1.6,150335.0,0.0039147286821705,B,1,0,0,0,0
1.64,149847.0,0.0063049095607235,B,1,0,0,0,0
1.68,150638.0,0.0038372093023255,B,1,0,0,0,0
1.72,147312.0,0.0327519379844961,P,1,0,0,0,0
1.76,162671.0,0.0055555555555555,B,1,0,0,0,0
1.8,162022.0,0.0083850129198966,B,1,0,0,0,0
1.84,163101.0,0.0037209302325581,B,1,0,0,0,0
1.88,150935.0,0.1432428940568475,P,1,0,0,0,0
1.92,163389.0,0.0428552971576227,P,1,0,0,0,0
1.96,166706.0,0.0311240310077519,P,1,0,0,0,0
2.0,169115.0,0.0264082687338501,P,1,0,0,0,0
2.04,171159.0,0.0263695090439276,P,1,0,0,0,0
2.08,173200.0,0.0272093023255813,P,1,0,0,0,0
2.12,178423.0,0.0039664082687338,B,1,0,0,0,0
2.16,177890.0,0.0068863049095607,B,1,0,0,0,0
2.2,178730.0,0.0034754521963824,B,1,0,0,0,0
2.24,175306.0,0.0333850129198966,P,1,0,0,0,0
2.28,191422.0,0.0035917312661498,B,1,0,0,0,0
2.32,190652.0,0.0099483204134366,B,1,0,0,0,0
2.36,191700.0,0.005142118863049,B,1,0,0,0,0
2.4,178999.0,0.1505555555555555,P,1,0,0,0,0
2.44,192098.0,0.0447932816537467,P,1,0,0,0,0
2.48,195565.0,0.0353229974160206,P,1,0,0,0,0
2.52,198299.0,0.0294961240310077,P,1,0,0,0,0
2.56,200582.0,0.0291085271317829,P,1,0,0,0,0
2.6,202835.0,0.0263565891472868,P,1,0,0,0,0
2.64,204875.0,0.0267312661498708,P,1,0,0,0,0
2.68,206944.0,0.0247028423772609,P,1,0,0,0,0
2.72,208856.0,0.0219896640826873,P,1,0,0,0,0
2.76,210558.0,0.0233591731266149,P,1,0,0,0,0
2.8,215063.0,0.0040697674418604,B,1,0,0,0,0
2.84,214563.0,0.0064599483204134,B,1,0,0,0,0
2.88,215378.0,0.0036304909560723,B,1,0,0,0,0
2.92,212366.0,0.0283850129198966,P,1,0,0,0,0
2.96,226807.0,0.0056330749354005,B,1,0,0,0,0
3.0,226100.0,0.0091343669250646,B,1,0,0,0,0
3.04,227243.0,0.0039793281653746,B,1,0,0,0,0
3.08,215659.0,0.1348966408268734,P,1,0,0,0,0
3.12,227551.0,0.04484496124031,P,1,0,0,0,0
3.16,231022.0,0.0292118863049095,P,1,0,0,0,0
3.2,233283.0,0.0265116279069767,P,1,0,0,0,0
3.24,235335.0,0.023578811369509,P,1,0,0,0,0
3.28,237160.0,0.0236304909560723,P,1,0,0,0,0
3.32,241945.0,0.0040956072351421,B,1,0,0,0,0
3.36,241410.0,0.0069121447028423,B,1,0,0,0,0
3.4,242262.0,0.0035917312661498,B,1,0,0,0,0
3.44,238989.0,0.0312790697674418,P,1,0,0,0,0
3.48,255243.0,0.0039664082687338,B,1,0,0,0,0
3.52,254483.0,0.0098191214470284,B,1,0,0,0,0
3.56,255550.0,0.0054263565891472,B,1,0,0,0,0
3.6,242540.0,0.1543023255813953,P,1,0,0,0,0
3.64,255970.0,0.0482170542635658,P,1,0,0,0,0
3.68,259702.0,0.0322739018087855,P,1,0,0,0,0
3.72,262200.0,0.0296511627906976,P,1,0,0,0,0
3.76,264495.0,0.0284754521963824,P,1,0,0,0,0
3.8,266699.0,0.0274677002583979,P,1,0,0,0,0
3.84,268825.0,0.0247545219638242,P,1,0,0,0,0
3.88,270741.0,0.022609819121447,P,1,0,0,0,0
3.92,272491.0,0.0230749354005167,P,1,0,0,0,0
3.96,274277.0,0.0219250645994832,P,1,0,0,0,0
4.0,278209.0,0.0040697674418604,B,1,0,0,0,0
4.04,278524.0,0.0033591731266149,B,1,0,0,0,0
4.08,275974.0,0.028875968992248,P,1,0,0,0,0
4.12,289867.0,0.0036692506459948,B,1,0,0,0,0
4.16,289306.0,0.0072480620155038,B,1,0,0,0,0
4.2,290151.0,0.0062273901808785,B,1,0,0,0,0
4.24,278784.0,0.1359431524547803,P,1,0,0,0,0
4.28,290633.0,0.042829457364341,P,1,0,0,0,0
4.32,293948.0,0.0355426356589147,P,1,0,0,0,0
4.36,296699.0,0.0293152454780361,P,1,0,0,0,0
4.4,298968.0,0.0261627906976744,P,1,0,0,0,0
4.44,300993.0,0.0239018087855297,P,1,0,0,0,0
4.48,302843.0,0.0227390180878552,P,1,0,0,0,0
4.52,304603.0,0.0252454780361757,P,1,0,0,0,0
4.56,309404.0,0.0037726098191214,B,1,0,0,0,0
4.6,308918.0,0.0062790697674418,B,1,0,0,0,0
4.64,309696.0,0.0034754521963824,B,1,0,0,0,0
4.68,306557.0,0.0305038759689922,P,1,0,0,0,0
4.72,321427.0,0.0039276485788113,B,1,0,0,0,0
4.76,320855.0,0.0073901808785529,B,1,0,0,0,0
4.8,321731.0,0.0058010335917312,B,1,0,0,0,0
