time_pos,byte_pos,size,type,normal,has_blur,has_move,has_overexposure,has_block
0.0,0,0.6495364908140907,I,1,0,0,0,0
0.04,38537,0.0182538344850834,P,1,0,0,0,0
0.08,39620,0.0365919433676049,P,1,0,0,0,0
0.12,41791,0.040755098601045,P,1,0,0,0,0
0.16,44209,0.0445643013652452,P,1,0,0,0,0
0.2,46853,0.0471936625653126,P,1,0,0,0,0
0.24,49653,0.0443620428113939,P,1,0,0,0,0
0.28,52285,0.0425922804651946,P,1,0,0,0,0
0.32,54812,0.0439406708242036,P,1,0,0,0,0
0.36,57419,0.0464351929883701,P,1,0,0,0,0
0.4,60174,0.0436372829934266,P,1,0,0,0,0
0.44,62763,0.0402157424574414,P,1,0,0,0,0
0.48,65149,0.0426428451036575,P,1,0,0,0,0
0.52,67679,0.04453059160627,P,1,0,0,0,0
0.56,70321,0.0432833305241867,P,1,0,0,0,0
0.6,72889,0.0420697792010787,P,1,0,0,0,0
0.64,75385,0.0412607449856733,P,1,0,0,0,0
0.68,77833,0.0421540535985167,P,1,0,0,0,0
0.72,80334,0.0441934940165177,P,1,0,0,0,0
0.76,82956,0.0418338108882521,P,1,0,0,0,0
0.8,85438,0.0392044496881847,P,1,0,0,0,0
0.84,87764,0.0365750884881173,P,1,0,0,0,0
0.88,89934,0.04114276082926,P,1,0,0,0,0
0.92,92375,0.0406371144446317,P,1,0,0,0,0
0.96,94786,0.0382605764368784,P,1,0,0,0,0
1.0,97056,0.0367099275240182,P,1,0,0,0,0
1.04,99234,0.0366256531265801,P,1,0,0,0,0
1.08,101407,0.0434181695600876,P,1,0,0,0,0
1.12,103983,0.0273049047699308,P,1,0,0,0,0
1.16,114159,0.0060509017360525,B,1,0,0,0,0
1.2,113566,0.0099949435361537,B,1,0,0,0,0
1.24,114518,0.003775493005225,B,1,0,0,0,0
1.28,105603,0.1342154053598516,P,1,0,0,0,0
1.32,114742,0.0480532614191808,P,1,0,0,0,0
1.36,117593,0.0437552671498398,P,1,0,0,0,0
1.4,120189,0.0384796898702174,P,1,0,0,0,0
1.44,122472,0.0356986347547615,P,1,0,0,0,0
1.48,124590,0.0479521321422551,P,1,0,0,0,0
1.52,127435,0.0373335580650598,P,1,0,0,0,0
1.56,129650,0.0371481543906961,P,1,0,0,0,0
1.6,131854,0.0408225181189954,P,1,0,0,0,0
1.64,134276,0.0393392887240856,P,1,0,0,0,0
1.68,136610,0.0368110568009438,P,1,0,0,0,0
1.72,138794,0.0386650935445811,P,1,0,0,0,0
1.76,141088,0.0373841227035226,P,1,0,0,0,0
1.8,143306,0.0364065396932411,P,1,0,0,0,0
1.84,145466,0.0344850834316534,P,1,0,0,0,0
1.88,147512,0.0370301702342828,P,1,0,0,0,0
1.92,149709,0.0406876790830945,P,1,0,0,0,0
1.96,152123,0.0344682285521658,P,1,0,0,0,0
2.0,154168,0.0380077532445643,P,1,0,0,0,0
2.04,156423,0.0385471093881678,P,1,0,0,0,0
2.08,158710,0.0357660542727119,P,1,0,0,0,0
2.12,160832,0.0351424237316703,P,1,0,0,0,0
2.16,162917,0.0328838698803303,P,1,0,0,0,0
2.2,164868,0.037063879993258,P,1,0,0,0,0
2.24,167067,0.0361705713804146,P,1,0,0,0,0
