time_pos,byte_pos,size,type,is_normal,has_blur,has_move,has_overexposure,has_block
0.0,0.0,0.8810390776770113,I,1,0,0,0,0
0.04,90251.0,0.01018186787977,P,1,0,0,0,0
0.08,93682.0,0.0025869558850805,B,1,0,0,0,0
0.12,93082.0,0.0058572586077296,B,1,0,0,0,0
0.16,93947.0,0.0025381453966828,B,1,0,0,0,0
0.2,91294.0,0.0174546306510342,P,1,0,0,0,0
0.24,94207.0,0.0094399484561242,P,1,0,0,0,0
0.28,95174.0,0.0093228032839696,P,1,0,0,0,0
0.32,96129.0,0.0092349444048537,P,1,0,0,0,0
0.36,97075.0,0.0092739927955719,P,1,0,0,0,0
0.4,98025.0,0.0099182912424221,P,1,0,0,0,0
0.44,99041.0,0.0093032790886105,P,1,0,0,0,0
0.48,99994.0,0.0092739927955719,P,1,0,0,0,0
0.52,103557.0,0.0028993430108261,B,1,0,0,0,0
0.56,102840.0,0.0069994240362369,B,1,0,0,0,0
0.6,103854.0,0.0029774397922625,B,1,0,0,0,0
0.64,100944.0,0.0185089372004256,P,1,0,0,0,0
0.68,130860.0,0.0028895809131466,B,1,0,0,0,0
0.72,129924.0,0.0091373234280582,B,1,0,0,0,0
0.76,131156.0,0.0035924519460741,B,1,0,0,0,0
0.8,104159.0,0.2515204467135898,P,1,0,0,0,0
0.84,131524.0,0.0200123002430762,P,1,0,0,0,0
0.88,133574.0,0.0146724328123627,P,1,0,0,0,0
0.92,135077.0,0.010874976815018,P,1,0,0,0,0
0.96,136191.0,0.0110506945732499,P,1,0,0,0,0
1.0,137323.0,0.0108066421312611,P,1,0,0,0,0
1.04,138430.0,0.0102502025635268,P,1,0,0,0,0
1.08,142085.0,0.0030067260853012,B,1,0,0,0,0
1.12,141351.0,0.0071653796967892,B,1,0,0,0,0
1.16,142393.0,0.0032410164296103,B,1,0,0,0,0
1.2,139480.0,0.0182648847584368,P,1,0,0,0,0
1.24,142725.0,0.0110214082802112,P,1,0,0,0,0
1.28,143854.0,0.0103575856380018,P,1,0,0,0,0
1.32,144915.0,0.0102599646612064,P,1,0,0,0,0
1.36,148489.0,0.0028895809131466,B,1,0,0,0,0
1.4,147772.0,0.0069994240362369,B,1,0,0,0,0
1.44,148785.0,0.0031141091597762,B,1,0,0,0,0
1.48,145966.0,0.0176303484092661,P,1,0,0,0,0
1.52,149104.0,0.0097620976795493,P,1,0,0,0,0
1.56,150104.0,0.0094399484561242,P,1,0,0,0,0
1.6,151071.0,0.2373946913712818,P,1,0,0,0,0
1.64,175389.0,0.0188408485215303,P,1,0,0,0,0
1.68,177319.0,0.0132178802581098,P,1,0,0,0,0
1.72,178673.0,0.0124173882483868,P,1,0,0,0,0
1.76,182702.0,0.0028407704247488,B,1,0,0,0,0
1.8,181942.0,0.0074191942364575,B,1,0,0,0,0
