time_pos,byte_pos,size,type,normal,has_blur,has_move,has_overexposure,has_block
0.0,0,0.7783043432975731,I,1,0,0,0,0
0.04,29890,0.02773148630351,P,1,0,0,0,0
0.08,30955,0.0145818143943339,P,1,0,0,0,0
0.12,31515,0.0173419435475471,P,1,0,0,0,0
0.16,33413,0.0056764920320799,B,1,0,0,0,0
0.2,32181,0.0320799916675346,P,1,0,0,0,0
0.24,35727,0.0064576606603478,B,1,0,0,0,0
0.28,35387,0.0088532444537027,B,1,0,0,0,0
0.32,35975,0.0059889594833871,B,1,0,0,0,0
0.36,33631,0.045724403707947,P,1,0,0,0,0
0.4,36205,0.0371575877512759,P,1,0,0,0,0
0.44,37632,0.0193990209353192,P,1,0,0,0,0
0.48,39740,0.0045568169982293,B,1,0,0,0,0
0.52,38377,0.0354910946776377,P,1,0,0,0,0
0.56,39915,0.0173159045932715,P,1,0,0,0,0
0.6,40580,0.0329913550671805,P,1,0,0,0,0
0.64,41847,0.0239297989792729,P,1,0,0,0,0
0.68,42766,0.0145818143943339,P,1,0,0,0,0
0.72,43326,0.0309342776794083,P,1,0,0,0,0
0.76,44514,0.0179148005416102,P,1,0,0,0,0
0.8,45202,0.0377044057910634,P,1,0,0,0,0
0.84,46650,0.0203103843349651,P,1,0,0,0,0
0.88,47430,0.0345797312779918,P,1,0,0,0,0
0.92,48758,0.0228882408082491,P,1,0,0,0,0
0.96,62305,0.0078898031455056,B,1,0,0,0,0
1.0,62032,0.0071086345172377,B,1,0,0,0,0
1.04,62608,0.0022133111134256,B,1,0,0,0,0
1.08,49637,0.322752838246016,P,1,0,0,0,0
1.12,64063,0.0026559733361108,B,1,0,0,0,0
1.16,63904,0.0041401937298198,B,1,0,0,0,0
1.2,64165,0.0021091552963233,B,1,0,0,0,0
1.24,62693,0.0315331736277471,P,1,0,0,0,0
1.28,65740,0.0029424018331423,B,1,0,0,0,0
1.32,65560,0.0046870117696073,B,1,0,0,0,0
1.36,65853,0.0026038954275596,B,1,0,0,0,0
1.4,64246,0.0342151859181335,P,1,0,0,0,0
1.44,67033,0.0029944797416935,B,1,0,0,0,0
1.48,65953,0.0281220706176439,P,1,0,0,0,0
